City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
448,fonte boa,-2.4959,-66.2662,22.8,99,91,0.11,BR,1705145200
449,forfar,56.6431,-2.8903,3.77,77,71,3.18,GB,1705145200
450,lethbridge,49.7,-112.8186,-37.62,61,0,1.54,CA,1705144977
451,puerto baquerizo moreno,-0.9,-89.6,24.81,82,84,3.37,EC,1705145202
452,bridgewater,44.3835,-64.5155,-2.92,71,100,5.66,CA,1705145202
453,la foa,-21.7108,165.8276,27.94,73,100,2.53,NC,1705145203
454,mar del plata,-38.0023,-57.5575,17.75,81,0,7.6,AR,1705145102
455,andovoranto,-18.95,49.1,29.14,60,100,4.44,MG,1705145204
456,dalbandin,28.8947,64.4101,19.58,32,15,1.83,PK,1705145205
457,valpoy,15.5333,74.1333,29.77,36,6,3.21,IN,1705145205
458,shenyang,41.7922,123.4328,-4.99,54,97,2.0,CN,1705145206
459,upata,8.0086,-62.3989,22.88,93,3,1.39,VE,1705145207
460,belyy yar,53.6039,91.3903,-17.06,66,94,1.0,RU,1705145207
461,ulaangom,49.9811,92.0667,-23.6,92,86,1.96,MN,1705145208
462,saldanha,-33.0117,17.9442,27.03,80,37,5.86,ZA,1705145208
463,naze,28.3667,129.4833,14.51,60,2,6.22,JP,1705145209
464,port saint john's,-31.6229,29.5448,24.95,89,93,3.4,ZA,1705145210
465,portage,41.1667,-81.1998,0.06,80,100,9.26,US,1705145210
466,arrifes,37.7667,-25.7,16.14,88,40,8.23,PT,1705145211
467,baukau,51.5526,7.2042,2.25,87,100,1.79,DE,1705145212
468,dickinson,29.4608,-95.0513,4.77,75,0,0.0,US,1705145212
469,kangasala,61.4638,24.076,-6.72,90,100,6.07,FI,1705145213
470,corinto,37.9407,22.9573,9.94,72,55,2.84,GR,1705145213
471,galliano,29.4422,-90.2992,3.77,60,90,3.58,US,1705145214
472,chiang rai,19.9167,99.9167,26.41,72,20,0.0,TH,1705145215
473,buitenpost,53.2517,6.1448,4.66,86,100,6.25,NL,1705145215
474,kimbe,-5.5502,150.1429,26.31,89,66,0.77,PG,1705145216
475,mili,6.0815,171.735,27.82,78,100,10.0,MH,1705145217
476,jayapura,-2.5333,140.7,26.66,86,100,1.78,ID,1705145217
477,khovd,48.0056,91.6419,-12.64,55,29,1.23,MN,1705145218
478,puerto leguizamo,-0.1934,-74.7819,21.7,98,97,0.58,CO,1705145219
479,maisi,43.0395,41.2621,-2.49,73,100,1.82,GE,1705145220
480,kutum,14.2,24.6667,25.65,9,22,1.93,SD,1705145121
481,ghadamis,30.1337,9.5007,12.78,54,1,2.46,LY,1705145221
482,nyrob,60.733,56.7202,-28.5,98,77,0.31,RU,1705145221
483,biloela,-24.4167,150.5,24.95,75,62,4.2,AU,1705145222
484,beledweyne,4.7358,45.2036,33.92,36,39,7.52,SO,1705145223
485,tejen,37.3834,60.5054,21.89,16,7,2.21,TM,1705145223
486,yatou,37.15,122.3833,5.35,90,2,3.74,CN,1705145224
487,barillas,15.8036,-91.3158,15.67,73,34,0.92,GT,1705145225
488,pandan,14.0453,124.1694,25.89,75,96,7.0,PH,1705145225
489,kiruna,67.8557,20.2251,-11.49,85,100,2.06,SE,1705145226
490,sinabang,2.4803,96.3801,27.22,83,97,1.09,ID,1705145227
491,nadi,-17.8,177.4167,25.0,94,40,0.0,FJ,1705145227
